,transaction_id,customer_id,timestamp,merchant_category,merchant_type,merchant,amount,currency,channel,transaction_hour,weekend_transaction
48670,TX_88fbc17c,CUST_91730,2024-09-30 06:09:47.605049+00:00,Entertainment,events,Ticketmaster,16713.47,MXN,pos,6,False
50837,TX_be263cba,CUST_91730,2024-09-30 06:31:24.738900+00:00,Grocery,online,Instacart,627.1,SGD,web,6,False
51004,TX_cdf32f36,CUST_91730,2024-09-30 06:33:08.712963+00:00,Restaurant,premium,Ruth's Chris,35627.58,RUB,web,6,False
51610,TX_a0b9aa40,CUST_91730,2024-09-30 06:38:55.438828+00:00,Restaurant,casual,TGI Fridays,107146.82,NGN,pos,6,False
51734,TX_e9803067,CUST_91730,2024-09-30 06:39:56.567769+00:00,Gas,local,Local Gas Station,2344.79,SGD,web,6,False
52799,TX_c468ab2b,CUST_91730,2024-09-30 06:49:40.477071+00:00,Restaurant,casual,Chili's,591334.47,NGN,web,6,False
56301,TX_3f10ae93,CUST_91730,2024-09-30 07:14:48.800321+00:00,Travel,booking,Hotels.com,46474.21,RUB,web,7,False
59550,TX_f70c6e7e,CUST_91730,2024-09-30 07:34:42.622996+00:00,Grocery,physical,Safeway,759.67,SGD,web,7,False
60483,TX_1abf6eef,CUST_91730,2024-09-30 07:40:55.418310+00:00,Travel,booking,Airbnb,2130.91,GBP,web,7,False
63606,TX_94f82f5b,CUST_91730,2024-09-30 08:00:09.301077+00:00,Restaurant,fast_food,Burger King,156.45,SGD,web,8,False
64798,TX_3e138aad,CUST_91730,2024-09-30 08:05:40.472084+00:00,Entertainment,gaming,PlayStation Store,360.96,SGD,web,8,False
65021,TX_7cc5b528,CUST_91730,2024-09-30 08:06:43.044475+00:00,Healthcare,medical,Lab Corp,636.64,SGD,web,8,False
67807,TX_941d76ca,CUST_91730,2024-09-30 08:19:17.226537+00:00,Grocery,online,FreshDirect,28538.62,RUB,web,8,False
68087,TX_1dd52ea0,CUST_91730,2024-09-30 08:20:32.143652+00:00,Gas,local,Truck Stop,669.76,SGD,web,8,False
69207,TX_467b871b,CUST_91730,2024-09-30 08:25:42.329362+00:00,Education,supplies,University Bookstore,657.51,SGD,web,8,False
70357,TX_15a3d8eb,CUST_91730,2024-09-30 08:30:59.254201+00:00,Education,online,edX,33985.92,RUB,web,8,False
73077,TX_ba9f64c8,CUST_91730,2024-09-30 08:43:31.382020+00:00,Education,online,Coursera,31144.02,RUB,web,8,False
73228,TX_72f5f743,CUST_91730,2024-09-30 08:44:08.498614+00:00,Grocery,online,FreshDirect,1465.78,SGD,web,8,False
76835,TX_a333f218,CUST_91730,2024-09-30 09:00:37.432428+00:00,Healthcare,pharmacy,Rite Aid,1713.58,SGD,web,9,False
76946,TX_332bc57f,CUST_91730,2024-09-30 09:01:08.415108+00:00,Travel,hotels,Holiday Inn,2097.39,SGD,web,9,False
83468,TX_05c105dc,CUST_91730,2024-09-30 09:35:54.678629+00:00,Restaurant,casual,Applebee's,409.94,SGD,web,9,False
83767,TX_0ee33283,CUST_91730,2024-09-30 09:37:31.447442+00:00,Gas,local,Truck Stop,1583.64,SGD,web,9,False
85793,TX_99be10a2,CUST_91730,2024-09-30 09:48:30.242019+00:00,Travel,hotels,Sheraton,38514.73,RUB,web,9,False
89376,TX_35acd4e3,CUST_91730,2024-09-30 10:09:01.550178+00:00,Travel,booking,Hotels.com,176404.34,RUB,web,10,False
90371,TX_76a42255,CUST_91730,2024-09-30 10:15:02.613184+00:00,Education,supplies,Chegg,30186.56,MXN,pos,10,False
92093,TX_bf43cdfc,CUST_91730,2024-09-30 10:26:29.411134+00:00,Entertainment,gaming,Xbox Live,691.49,SGD,web,10,False
96570,TX_f0c81ecf,CUST_91730,2024-09-30 10:54:12.433046+00:00,Entertainment,events,StubHub,2153.12,SGD,web,10,False
98437,TX_c46d8e3a,CUST_91730,2024-09-30 11:05:27.619045+00:00,Travel,airlines,JetBlue,799.12,SGD,web,11,False
98830,TX_25929c7f,CUST_91730,2024-09-30 11:07:26.406214+00:00,Grocery,online,Instacart,917.33,SGD,web,11,False
99947,TX_f930e8a3,CUST_91730,2024-09-30 11:13:38.560000+00:00,Travel,hotels,Sheraton,1381.59,SGD,web,11,False
103103,TX_d87197ce,CUST_91730,2024-09-30 11:30:04.391783+00:00,Gas,major,Texaco,770.49,SGD,web,11,False
104591,TX_be029903,CUST_91730,2024-09-30 11:37:53.497940+00:00,Travel,hotels,Hilton,1534.7,SGD,web,11,False
106101,TX_a4950e3a,CUST_91730,2024-09-30 11:45:51.581238+00:00,Retail,online,Amazon,1900.87,SGD,web,11,False
110551,TX_39a321a9,CUST_91730,2024-09-30 12:08:01.694681+00:00,Gas,major,BP,665.41,SGD,web,12,False
111866,TX_bd75e302,CUST_91730,2024-09-30 12:13:59.529338+00:00,Education,online,edX,1507.91,SGD,web,12,False
114529,TX_41752f41,CUST_91730,2024-09-30 12:26:12.748537+00:00,Healthcare,pharmacy,Rite Aid,405.9,EUR,web,12,False
114538,TX_691d3e11,CUST_91730,2024-09-30 12:26:14.872046+00:00,Entertainment,gaming,Steam,284576.19,NGN,web,12,False
115361,TX_fda09bad,CUST_91730,2024-09-30 12:30:19.470372+00:00,Retail,online,AliExpress,2260.13,SGD,web,12,False
116607,TX_e80c61a2,CUST_91730,2024-09-30 12:36:04.633613+00:00,Grocery,online,FreshDirect,29375.02,RUB,web,12,False
116716,TX_3a7b49e2,CUST_91730,2024-09-30 12:36:34.463378+00:00,Entertainment,events,AMC Theaters,915.96,SGD,web,12,False
116769,TX_a8af07be,CUST_91730,2024-09-30 12:36:47.403690+00:00,Travel,booking,Airbnb,2906.58,SGD,web,12,False
119804,TX_c91de325,CUST_91730,2024-09-30 12:50:46.553836+00:00,Travel,transport,Careem,589.12,SGD,web,12,False
124491,TX_36b569a6,CUST_91730,2024-09-30 13:13:30.555230+00:00,Grocery,physical,Kroger,23.06,BRL,mobile,13,False
126446,TX_31b5b222,CUST_91730,2024-09-30 13:23:58.587073+00:00,Gas,local,Truck Stop,1547.22,SGD,web,13,False
127615,TX_d3932a78,CUST_91730,2024-09-30 13:30:09.390984+00:00,Entertainment,events,Regal Cinemas,644.56,SGD,web,13,False
129429,TX_2f23062e,CUST_91730,2024-09-30 13:39:48.436566+00:00,Healthcare,pharmacy,Rite Aid,628.24,EUR,web,13,False
129766,TX_c36c26e0,CUST_91730,2024-09-30 13:41:37.410299+00:00,Gas,local,Highway Gas Stop,2275.73,SGD,web,13,False
130961,TX_235ab296,CUST_91730,2024-09-30 13:47:59.409609+00:00,Travel,hotels,Hyatt,2663.64,SGD,web,13,False
131181,TX_21ac7420,CUST_91730,2024-09-30 13:49:12.654502+00:00,Healthcare,medical,Lab Corp,27415.02,RUB,web,13,False
131444,TX_d70babdd,CUST_91730,2024-09-30 13:50:33.495281+00:00,Education,supplies,Barnes & Noble,29523.85,RUB,web,13,False
133518,TX_2496c09f,CUST_91730,2024-09-30 14:01:47.849004+00:00,Education,supplies,Chegg,30462.4,RUB,web,14,False
135108,TX_a98946f7,CUST_91730,2024-09-30 14:11:31.401092+00:00,Restaurant,fast_food,McDonald's,2487.68,SGD,web,14,False
135230,TX_dadccefe,CUST_91730,2024-09-30 14:12:18.497293+00:00,Grocery,online,Amazon Fresh,376.41,USD,web,14,False
135314,TX_731d9f42,CUST_91730,2024-09-30 14:12:51.052785+00:00,Healthcare,pharmacy,Rite Aid,657.92,SGD,web,14,False
138608,TX_21557e9b,CUST_91730,2024-09-30 14:33:21.567227+00:00,Gas,major,BP,71261.72,JPY,web,14,False
140622,TX_043cdd9a,CUST_91730,2024-09-30 14:45:40.396012+00:00,Education,online,edX,2388.02,SGD,web,14,False
142215,TX_3f91753c,CUST_91730,2024-09-30 14:55:34.720124+00:00,Entertainment,gaming,Steam,1845.08,NGN,web,14,False
142327,TX_ff165efa,CUST_91730,2024-09-30 14:56:16.227352+00:00,Retail,online,eBay,32866.33,RUB,web,14,False
146771,TX_c156f0bf,CUST_91730,2024-09-30 15:24:22.518449+00:00,Retail,online,Amazon,3566.43,AUD,pos,15,False
148595,TX_12a1547a,CUST_91730,2024-09-30 15:35:41.604670+00:00,Retail,physical,Nike Store,31402.27,RUB,web,15,False
155354,TX_abeb9302,CUST_91730,2024-09-30 16:14:13.697689+00:00,Healthcare,medical,Medical Center,1.4,MXN,mobile,16,False
159979,TX_1f8f886d,CUST_91730,2024-09-30 16:38:54.671485+00:00,Healthcare,pharmacy,CVS Pharmacy,2064.63,SGD,web,16,False
161899,TX_03bf2caf,CUST_91730,2024-09-30 16:49:35.391340+00:00,Restaurant,casual,TGI Fridays,608.24,SGD,web,16,False
162882,TX_ab1bb4db,CUST_91730,2024-09-30 16:54:43.591761+00:00,Education,online,Skillshare,2340.31,SGD,web,16,False
162936,TX_da80598b,CUST_91730,2024-09-30 16:55:01.477510+00:00,Restaurant,premium,Morton's,1324.66,SGD,web,16,False
165139,TX_773b3d69,CUST_91730,2024-09-30 17:05:37.265991+00:00,Restaurant,casual,TGI Fridays,15696.32,RUB,web,17,False
165591,TX_4782b015,CUST_91730,2024-09-30 17:07:42.465266+00:00,Retail,physical,Home Depot,1537.93,USD,web,17,False
166548,TX_5181b79c,CUST_91730,2024-09-30 17:11:51.496325+00:00,Healthcare,pharmacy,Rite Aid,1571.13,SGD,web,17,False
167130,TX_c7e3bd6f,CUST_91730,2024-09-30 17:14:37.761799+00:00,Grocery,online,Instacart,27933.8,RUB,web,17,False
171386,TX_d511f364,CUST_91730,2024-09-30 17:33:34.383137+00:00,Entertainment,streaming,Spotify,8812.64,RUB,web,17,False
176119,TX_dde24898,CUST_91730,2024-09-30 17:55:18.404424+00:00,Retail,online,eBay,2354.9,SGD,web,17,False
178907,TX_880387b4,CUST_91730,2024-09-30 18:07:12.523264+00:00,Entertainment,gaming,Steam,20825.09,RUB,web,18,False
179206,TX_32abeee1,CUST_91730,2024-09-30 18:08:31.623606+00:00,Education,supplies,Chegg,636.42,SGD,web,18,False
180143,TX_0fcb1899,CUST_91730,2024-09-30 18:12:26.295155+00:00,Restaurant,casual,Red Lobster,18909.07,RUB,web,18,False
182918,TX_1dfa7862,CUST_91730,2024-09-30 18:23:45.840047+00:00,Grocery,online,Amazon Fresh,27506.08,RUB,web,18,False
184666,TX_dbf9a7d6,CUST_91730,2024-09-30 18:30:51.293500+00:00,Grocery,online,Instacart,28171.08,RUB,web,18,False
186418,TX_33f94858,CUST_91730,2024-09-30 18:37:54.492917+00:00,Healthcare,pharmacy,Rite Aid,653.84,SGD,web,18,False
187340,TX_aeaf64d1,CUST_91730,2024-09-30 18:41:30.562179+00:00,Education,online,MasterClass,732.38,SGD,web,18,False
187793,TX_27ff9aed,CUST_91730,2024-09-30 18:43:12.495992+00:00,Retail,physical,IKEA,641.76,SGD,web,18,False
190171,TX_9b669769,CUST_91730,2024-09-30 18:52:36.379023+00:00,Gas,major,Texaco,632.1,SGD,web,18,False
192549,TX_45985029,CUST_91730,2024-09-30 19:02:31.578808+00:00,Grocery,physical,Aldi,22400.97,RUB,web,19,False
193271,TX_dc09c0f0,CUST_91730,2024-09-30 19:05:48.155900+00:00,Retail,physical,Costco,661.06,SGD,web,19,False
195405,TX_5fab298d,CUST_91730,2024-09-30 19:15:52.583703+00:00,Retail,online,eBay,55229.84,RUB,web,19,False
196843,TX_bfde3ca9,CUST_91730,2024-09-30 19:22:32.398795+00:00,Travel,transport,Lyft,2552.56,SGD,web,19,False
197039,TX_540e33de,CUST_91730,2024-09-30 19:23:29.582323+00:00,Grocery,physical,Whole Foods,595.81,SGD,web,19,False
197081,TX_f31b269a,CUST_91730,2024-09-30 19:23:38.338549+00:00,Grocery,physical,Aldi,25476.17,RUB,web,19,False
198013,TX_6385b53b,CUST_91730,2024-09-30 19:28:09.401229+00:00,Restaurant,casual,Red Lobster,8127.66,BRL,web,19,False
199593,TX_0fe4de46,CUST_91730,2024-09-30 19:35:30.781616+00:00,Travel,airlines,JetBlue,112975.16,RUB,web,19,False
201696,TX_271c4c50,CUST_91730,2024-09-30 19:45:01.281209+00:00,Retail,physical,Home Depot,30618.77,RUB,web,19,False
203203,TX_4f282993,CUST_91730,2024-09-30 19:52:07.018587+00:00,Travel,booking,Hotels.com,3038.21,SGD,web,19,False
207980,TX_022103a1,CUST_91730,2024-09-30 20:18:54.710597+00:00,Retail,online,Wayfair,855.56,SGD,web,20,False
210613,TX_2f646f9e,CUST_91730,2024-09-30 20:35:18.412087+00:00,Healthcare,pharmacy,Rite Aid,28234.64,RUB,web,20,False
214564,TX_ee33c72d,CUST_91730,2024-09-30 20:59:52.630556+00:00,Gas,local,Local Gas Station,971.56,SGD,web,20,False
215550,TX_45bacd89,CUST_91730,2024-09-30 21:09:48.850397+00:00,Healthcare,pharmacy,Rite Aid,18.94,MXN,web,21,False
217638,TX_b09dc8db,CUST_91730,2024-09-30 21:29:26.548898+00:00,Education,online,Udemy,960.34,SGD,web,21,False
220941,TX_f028defa,CUST_91730,2024-09-30 22:00:22.395456+00:00,Healthcare,medical,Lab Corp,2223.47,SGD,web,22,False
221825,TX_8f758937,CUST_91730,2024-09-30 22:05:08.391252+00:00,Healthcare,pharmacy,CVS Pharmacy,1576.5,SGD,web,22,False
223449,TX_53b4add5,CUST_91730,2024-09-30 22:13:58.605715+00:00,Grocery,online,Amazon Fresh,1536.07,SGD,web,22,False
231463,TX_8a77c8f2,CUST_91730,2024-09-30 22:58:31.355404+00:00,Restaurant,premium,Nobu,31353.12,RUB,web,22,False
232290,TX_16b424d8,CUST_91730,2024-09-30 23:03:39.753738+00:00,Education,online,Udemy,156.39,RUB,pos,23,False
234592,TX_52d9ba93,CUST_91730,2024-09-30 23:18:31.743737+00:00,Entertainment,streaming,HBO Max,13409.63,RUB,web,23,False
235580,TX_7a7fa4c2,CUST_91730,2024-09-30 23:24:35.422047+00:00,Education,online,MasterClass,2711.53,SGD,web,23,False
238678,TX_67aa64c8,CUST_91730,2024-09-30 23:45:31.355174+00:00,Healthcare,medical,Local Hospital,648.69,SGD,web,23,False
239270,TX_b406a241,CUST_91730,2024-09-30 23:49:28.640453+00:00,Travel,transport,Enterprise Rent-A-Car,15758.63,RUB,web,23,False
242514,TX_9b989172,CUST_91730,2024-10-01 00:18:35.688912+00:00,Grocery,online,Instacart,29322.58,RUB,web,0,False
243306,TX_402948bb,CUST_91730,2024-10-01 00:28:05.090985+00:00,Entertainment,streaming,HBO Max,264.59,SGD,web,0,False
245936,TX_831c3af4,CUST_91730,2024-10-01 00:59:47.442786+00:00,Healthcare,medical,Medical Center,1641.31,SGD,web,0,False
246709,TX_9fe57ea4,CUST_91730,2024-10-01 01:05:01.717301+00:00,Restaurant,casual,Chili's,36334.71,RUB,web,1,False
251935,TX_66eb82ef,CUST_91730,2024-10-01 01:39:33.536997+00:00,Retail,online,eBay,1704.6,SGD,web,1,False
252055,TX_edaa7900,CUST_91730,2024-10-01 01:40:13.127588+00:00,Entertainment,streaming,Apple Music,4734.19,MXN,pos,1,False
252130,TX_627729b6,CUST_91730,2024-10-01 01:40:40.636190+00:00,Travel,booking,Airbnb,8406.67,AUD,pos,1,False
252291,TX_27b00e5b,CUST_91730,2024-10-01 01:41:44.441846+00:00,Travel,airlines,United Airlines,2649.6,SGD,web,1,False
252799,TX_5a56df03,CUST_91730,2024-10-01 01:45:10.672276+00:00,Entertainment,events,AMC Theaters,316638.53,NGN,pos,1,False
254371,TX_329bd51b,CUST_91730,2024-10-01 01:55:50.455595+00:00,Healthcare,pharmacy,Rite Aid,807.48,SGD,web,1,False
255053,TX_60ebfd80,CUST_91730,2024-10-01 02:00:23.225177+00:00,Entertainment,streaming,Amazon Prime,18461.61,RUB,web,2,False
263014,TX_3019ffac,CUST_91730,2024-10-01 02:53:15.235260+00:00,Gas,local,Highway Gas Stop,36544.86,RUB,web,2,False
266161,TX_34b5887d,CUST_91730,2024-10-01 03:13:50.433882+00:00,Restaurant,premium,Capital Grille,9642.92,BRL,mobile,3,False
266582,TX_100dc9d6,CUST_91730,2024-10-01 03:16:44.646183+00:00,Education,online,MasterClass,24074.47,MXN,mobile,3,False
267963,TX_6ac539a9,CUST_91730,2024-10-01 03:26:16.484569+00:00,Retail,physical,Costco,5465.74,BRL,pos,3,False
268771,TX_43cb60f1,CUST_91730,2024-10-01 03:31:44.619590+00:00,Education,online,edX,49987.86,MXN,pos,3,False
269828,TX_64b2e12d,CUST_91730,2024-10-01 03:38:43.594017+00:00,Education,supplies,University Bookstore,968.93,SGD,web,3,False
271374,TX_561fdc4a,CUST_91730,2024-10-01 03:48:36.175039+00:00,Healthcare,pharmacy,Walgreens,976222.41,NGN,pos,3,False
272032,TX_d1ec92bf,CUST_91730,2024-10-01 03:52:40.539250+00:00,Travel,airlines,JetBlue,623956.92,RUB,mobile,3,False
275597,TX_688c2059,CUST_91730,2024-10-01 04:16:24.029460+00:00,Retail,online,eBay,174819.82,RUB,pos,4,False
275702,TX_983b2b78,CUST_91730,2024-10-01 04:17:03.394138+00:00,Gas,local,Local Gas Station,13.72,BRL,pos,4,False
277068,TX_b02af7a3,CUST_91730,2024-10-01 04:25:51.590552+00:00,Gas,local,Highway Gas Stop,36091.3,RUB,web,4,False
277922,TX_208b89dc,CUST_91730,2024-10-01 04:31:34.822153+00:00,Education,online,MasterClass,45495.53,MXN,pos,4,False
279065,TX_ec39ee4a,CUST_91730,2024-10-01 04:38:52.243989+00:00,Entertainment,streaming,Apple Music,18200.42,RUB,web,4,False
279306,TX_b12fc343,CUST_91730,2024-10-01 04:40:26.498366+00:00,Restaurant,fast_food,Wendy's,127.42,CAD,pos,4,False
279966,TX_6e151d5c,CUST_91730,2024-10-01 04:45:00.519164+00:00,Travel,hotels,Marriott,68831.43,RUB,web,4,False
280911,TX_1fce5235,CUST_91730,2024-10-01 04:51:20.392732+00:00,Healthcare,medical,Urgent Care,173.31,RUB,mobile,4,False
285653,TX_5c08c2ba,CUST_91730,2024-10-01 05:30:55.327639+00:00,Education,online,Udemy,29856.79,RUB,web,5,False
285966,TX_2f3b05bc,CUST_91730,2024-10-01 05:33:38.393923+00:00,Restaurant,casual,Red Lobster,997.73,GBP,web,5,False
286307,TX_d0bc4c45,CUST_91730,2024-10-01 05:36:31.608033+00:00,Restaurant,premium,Ruth's Chris,27270.63,RUB,web,5,False
286402,TX_ea08141b,CUST_91730,2024-10-01 05:37:22.278130+00:00,Travel,booking,Booking.com,97810.46,RUB,web,5,False
287215,TX_e5260b0a,CUST_91730,2024-10-01 05:44:43.544155+00:00,Retail,physical,Home Depot,2140.54,SGD,web,5,False
287619,TX_0502d492,CUST_91730,2024-10-01 05:48:05.766128+00:00,Travel,transport,Careem,7702.58,RUB,web,5,False
287686,TX_266c0f27,CUST_91730,2024-10-01 05:48:42.407349+00:00,Gas,local,Truck Stop,2188.49,SGD,web,5,False
289581,TX_013797b0,CUST_91730,2024-10-01 06:05:30.581885+00:00,Gas,major,Mobil,1967.13,SGD,web,6,False
291601,TX_ac7bc568,CUST_91730,2024-10-01 06:24:01.040195+00:00,Grocery,online,Instacart,596.34,SGD,web,6,False
291755,TX_32ca3dfb,CUST_91730,2024-10-01 06:25:42.530347+00:00,Education,online,edX,1920.97,SGD,web,6,False
292407,TX_0842577e,CUST_91730,2024-10-01 06:31:42.434614+00:00,Travel,booking,Airbnb,37764.99,BRL,pos,6,False
296691,TX_b9a89cc9,CUST_91730,2024-10-01 07:07:18.392267+00:00,Education,supplies,Barnes & Noble,31074.58,MXN,mobile,7,False
297198,TX_69231afa,CUST_91730,2024-10-01 07:10:21.912005+00:00,Travel,hotels,Holiday Inn,60688.18,MXN,pos,7,False
300960,TX_de46b060,CUST_91730,2024-10-01 07:32:54.161757+00:00,Entertainment,gaming,Steam,314.19,SGD,web,7,False
300989,TX_17a856f5,CUST_91730,2024-10-01 07:33:03.589545+00:00,Gas,major,Chevron,840.33,SGD,web,7,False
305593,TX_e892d11d,CUST_91730,2024-10-01 08:00:59.743038+00:00,Healthcare,pharmacy,Rite Aid,219.21,RUB,mobile,8,False
311739,TX_43969a8b,CUST_91730,2024-10-01 08:28:45.588894+00:00,Retail,online,Newegg,59119.98,JPY,web,8,False
313310,TX_1242e131,CUST_91730,2024-10-01 08:35:58.339044+00:00,Healthcare,pharmacy,Rite Aid,28780.24,RUB,web,8,False
313384,TX_68155502,CUST_91730,2024-10-01 08:36:19.658225+00:00,Travel,booking,Booking.com,31.48,MXN,web,8,False
316316,TX_b3f9521b,CUST_91730,2024-10-01 08:49:49.257950+00:00,Gas,local,Local Gas Station,32130.29,RUB,web,8,False
316606,TX_a95c501f,CUST_91730,2024-10-01 08:51:12.798575+00:00,Grocery,online,FreshDirect,28550.7,RUB,web,8,False
317586,TX_e20b7346,CUST_91730,2024-10-01 08:55:40.511102+00:00,Travel,airlines,JetBlue,133511.07,RUB,web,8,False
318288,TX_21ee9cce,CUST_91730,2024-10-01 08:59:08.617991+00:00,Restaurant,premium,Morton's,2237.76,SGD,web,8,False
318524,TX_b9706703,CUST_91730,2024-10-01 09:00:08.418732+00:00,Gas,major,BP,634.8,SGD,web,9,False
320775,TX_f5d2227f,CUST_91730,2024-10-01 09:11:52.533829+00:00,Gas,local,Highway Gas Stop,1987.86,SGD,web,9,False
322180,TX_e5e90f30,CUST_91730,2024-10-01 09:19:19.821396+00:00,Gas,local,Local Gas Station,35025.77,RUB,web,9,False
326866,TX_8196f563,CUST_91730,2024-10-01 09:44:25.235712+00:00,Education,online,Udemy,193973.22,NGN,web,9,False
328041,TX_5ddd2222,CUST_91730,2024-10-01 09:50:37.394623+00:00,Healthcare,medical,Local Hospital,1655.06,SGD,web,9,False
328299,TX_f696e612,CUST_91730,2024-10-01 09:52:07.322758+00:00,Entertainment,gaming,Steam,16.71,BRL,mobile,9,False
329291,TX_28e88f24,CUST_91730,2024-10-01 09:57:07.692850+00:00,Travel,booking,Hotels.com,3033.01,SGD,web,9,False
331064,TX_37c9e86b,CUST_91730,2024-10-01 10:07:56.610132+00:00,Education,online,Coursera,2355.25,SGD,web,10,False
333134,TX_256ce0b1,CUST_91730,2024-10-01 10:20:26.411436+00:00,Healthcare,medical,Lab Corp,1956.99,SGD,web,10,False
333423,TX_668eee4a,CUST_91730,2024-10-01 10:22:14.519189+00:00,Retail,online,Shopify Store,2264.47,SGD,web,10,False
341424,TX_bd742640,CUST_91730,2024-10-01 11:09:50.664390+00:00,Retail,physical,IKEA,1905.44,SGD,web,11,False
341782,TX_41bbad79,CUST_91730,2024-10-01 11:11:44.253465+00:00,Gas,local,Truck Stop,27028.6,RUB,web,11,False
341868,TX_66d02a35,CUST_91730,2024-10-01 11:12:08.446299+00:00,Gas,major,Shell,2058.76,SGD,web,11,False
343147,TX_41300a3f,CUST_91730,2024-10-01 11:18:54.514403+00:00,Travel,airlines,Emirates,65583.13,RUB,web,11,False
344773,TX_0504e5bb,CUST_91730,2024-10-01 11:27:39.432018+00:00,Healthcare,pharmacy,Rite Aid,1381.32,SGD,web,11,False
348562,TX_220e5407,CUST_91730,2024-10-01 11:47:20.552867+00:00,Grocery,online,Instacart,29003.92,RUB,web,11,False
350114,TX_2e741a8b,CUST_91730,2024-10-01 11:55:26.407671+00:00,Restaurant,premium,Capital Grille,2311.91,SGD,web,11,False
352204,TX_19dd6205,CUST_91730,2024-10-01 12:05:13.558091+00:00,Education,supplies,Chegg,34698.09,RUB,web,12,False
354905,TX_9ae6e0ef,CUST_91730,2024-10-01 12:17:41.515084+00:00,Healthcare,pharmacy,Walgreens,837.7,SGD,web,12,False
356330,TX_0dc8c75b,CUST_91730,2024-10-01 12:24:20.552262+00:00,Grocery,physical,Kroger,21935.11,RUB,web,12,False
356729,TX_f2bb385a,CUST_91730,2024-10-01 12:26:05.012535+00:00,Entertainment,gaming,Steam,312.43,SGD,web,12,False
